,Topic,Count,Name,Representation,Representative_Docs
0,-1,5194,-1_food_good_place_service,"['food', 'good', 'place', 'service', 'great', 'time', 'like', 'ordered', 'chicken', 'really']","['place driving town decided try lamb platter delicious meat tender hummus fresh tabbouleh salad perfect came spot close kitchen pleasant provided good customer service nice spot eat lunch dinner plenty parking atmosphere nice byob makes dinner night reasonable priced drinks time ill eat experience', 'came ordered tuna salad wrap minutes later im waiting saw come served ordered smoothie smoothie cold ice tastes like strawberry milk sure place gotten good review service slow ipek people things want day waiting close min tuna wrap line tables ordered cold low prep time man order wait longer waiting maybe right idea left wanted came case wait long service friendly im sure people desire thinking quick bite eat disappointed', 'attention paid manager pushed rating stars food came quickly recommend going lunch great deal got appetizer pasta dessert start avocado toast really good came carrots maybe cucumbers kind masked flavor avocado good got salad start good special friend got butternut squash soup really enjoyed appetizers thats id main course split friend got hyped canestri cacio e pepe frankly rated special didnt flavor id recommend child sophisticated palate recommend asking extra parmesan mafalde completely different story pasta like lasagna thinner longer house cooked perfectly comes meat sauce delicious definitely umami flavor filling john burger good id pasta dish whats cool burger encased cheese fries delicious perfect medium soft crispy chocolate chip cookie really yummy white chocolate dark chocolate kinda small']"
1,0,393,0_beer_bar_music_beers,"['beer', 'bar', 'music', 'beers', 'drinks', 'great', 'place', 'selection', 'good', 'live']","['dont music live regularly beer like interesting beers plenty available like beer drink plenty good match atmosphere little rundown bar good vibe regular clientel make fun place hang fact going tonight', 'great neighborhood bar people friendly beer selection good make great mixed drinks place small loud great spot grab drink happy hour', 'great place wings number list dive bars people nice atmosphere good old town bar wings beer live music sunday wings beer bar wings home good place guys']"
2,1,378,1_pizza_crust_pizzas_slice,"['pizza', 'crust', 'pizzas', 'slice', 'pepperoni', 'toppings', 'pie', 'good', 'cheese', 'place']","['tried detroit style pizza really good like crust pizza happy ordered regular crust pizza good definitely check menu soon', 'want great pizza price wont break bank place love pizza places set price gives toppings want mod pizza fast tasty ordered mad dog pizza mozzarella pepperoni mild sausage ground beef red sauce plus added bacon mushrooms pie great love truly meat lovers pizza crust simple like crispy style deep dish say crust pretty plane bad toppings tasted fresh cooked brick style oven staff quick friendly say recommend place looking good pizza', 'owners really sweet pizza amazing got cheese pizza mushroom green pepper pizza great highly recommend getting pizza']"
3,2,271,2_sushi_roll_rolls_tuna,"['sushi', 'roll', 'rolls', 'tuna', 'quality', 'fish', 'tempura', 'japanese', 'salmon', 'spicy']","['great service good sushi place sushi happy hour drink specials', 'like sushi wrong amazing sushi friends eat bar food im sure stuff good sushi', 'went sushi couple times sushi good service friendly definitely best sushi town']"
4,3,241,3_shrimp_crab_oysters_seafood,"['shrimp', 'crab', 'oysters', 'seafood', 'beach', 'crawfish', 'fish', 'lobster', 'good', 'delicious']","['best raw oysters ive eaten prices great service fantastic ate twice long weekend ordered delicious includes raw oysters course seafood étouffée po boy gumbo red beans rice jambalaya bread pudding amazing youre thinking', 'service great friendly staff husband fried oysters good better little spice flavor seafood pasta amazing disappoint definitely recommend', 'excellent service min wait food quick great ordered creole stuffed fish crab cake shrimp alfredo minus crab cakes ran crab cakes jambalaya pasta chargrilled oysters gulf shrimp grits chocolate mousse cake strawberry shortcake pecan cobbler tasty enjoyed']"
5,4,179,4_burger_fries_burgers_bun,"['burger', 'fries', 'burgers', 'bun', 'good', 'place', 'beef', 'patty', 'shake', 'potato']","['really enjoyed place went table sunday night craving burger waited minutes seated pretty fast cleared got like order burger share fries opted zucchini fries place known tasty think came try classic fries onion rings burgers little expensive depending kind actually got buffalo chicken delicious overall service good ambiance cool menu casual delicious return', 'great burgers kind hawaiian like bbq pineapple burger usual burger options mushroms grilled onion bacon cheese condiments chicken burger veggie burger usually grilled cheesetheir fries amazing slightly seasoned nice ambiance fish tanks college crowd near iv reasonably priced burger fries', 'priced cooked burgers burger undercooked ordered came red practically raw bacon nonexestant small piece bacon bacon cheese burger paid extra egg sunny thought supposed come burger egg burger broken mixed fries making slimy soggy fries cooked greasy burger tbe worst burger easy place dinner time']"
6,5,161,5_eggs_brunch_breakfast_toast,"['eggs', 'brunch', 'breakfast', 'toast', 'benedict', 'pancakes', 'biscuits', 'gravy', 'waffle', 'waffles']","['hungry come went people busy wait certain hours day open breakfast lunch ordered omelette french toast meat lovers skillet blintzes biscuits gravy skillet jammed packed scrambled eggs hash browns ham bacon sausage knows meat nephew big eater ate half gravy smooth creamy biscuits gravy french toast slight crisp cinnamon flavor grits creamy niece ham cheese omelette thing bigger burrito eat half home fries seasoned great tasty lack salt finish blintzes filling right sweet creamy plenty blueberry sauce finish blintz coffee good bitterness family friendly waitress friendly looks like loves working prices amazing im trying lunch time weekend breakfast place enjoy', 'ate breakfast got corned beef benedict emily got southern breakfast service spot server candy cheerful efficient real treat late morning breakfast bloody mary southern breakfast exactly described cut fried green tomato fried eggs crisp smoky bacon creamy grits world corned beef bennie served biscuit chunks beef potato topped hollandaise surrounded drizzle creamy horseradish sauce eggs poached soft ran thing way problem chunk egg shell size buick got missed ended poached second benedict kind ruined things end considering easily missed food good price right service exceptional oh dont come looking biscuits gravy great biscuits gravy isnt thing', 'great place breakfast lunch brunch location large lot room tables small bar televisions server friendly gave good recommendations host little annoyed wanted table away glaring sun party sunglasses favorite meal breakfast especially super sweet savory dish place wonderful options smoked salmon eggs benedict chicken waffles shrimp grits chocolate stuffed belgian waffle wonderful choices went seasonal lobster benedict bagel topped asparagus poached eggs sautéed lobster creamy bisquelike sauce breakfast potatoes delicious breakfast flavor fantastic bagel nice touch chocolate chip pancakes traditional day starter alcohol mimosas bloody marys brunch staples parking garage right door convenient area got morning sunday didnt wait time left packed line stating form overall great place want sweet savory breakfastbrunch']"
7,6,131,6_orleans_new_oysters_jazz,"['orleans', 'new', 'oysters', 'jazz', 'shrimp', 'nola', 'best', 'chargrilled', 'quarter', 'french']","['place amazing wish close favorites new orleans', 'thats restaurant visited new orleans friend bought told popular local tried food bad traditional new orleans food lot like really like taste good place try trip new orleans', 'staff incredibly friendly food delicious best breakfast food new orleans highly recommend']"
8,7,128,7_coffee_starbucks_shop_cup,"['coffee', 'starbucks', 'shop', 'cup', 'latte', 'milk', 'love', 'great', 'place', 'friendly']","['goto spot coffee great staff great atmosphere delicious coffee awesome food waiting', 'great local coffee shop amazing coffee die food better great tables best coffee east', 'little coffee shop surprised seen white coffee shops boise tried stick familiar starbucks tried little local owned coffee shop months ago coffee rich perfect taste like mocha latte type coffee doesnt matter flavors ordered perfect taste flavors overwhelmed sweet coffee ordered holiday special snowball mocha think marshmallow melted hot coffee rich bitterness coffee underneath make coffee perfect big fan marshmallow think combo makes perfect chance stepped inside cozy welcoming coffee shop little place try love']"
9,8,128,8_philly_cheesesteak_genos_pats,"['philly', 'cheesesteak', 'genos', 'pats', 'cheese', 'philadelphia', 'steak', 'cheesesteaks', 'wiz', 'best']","['actually good close genos philly ive twice darn good time im happy place hard real philly unless youre actually philadelphia', 'day went philly brother dad tried decide legendary cheesesteak shop visit pats genos dad recently philadelphia said genos rolled choice watched flyers beat penguins drove genos important thing remember ordering cheesesteak honestly forget worked bet genos reviews tell anyways actual cheesesteak ok wasnt worst cheesesteak got provolone means provolone cheesesteak onions bread chewy steak good bit greasy neighbourhood genos located isnt exactly nice eating steaks car random local guy walks car street including asks wash windows ive seen life houses looked sort run nice advice want best philadelphia center city want eat good cheesesteak dont genos', 'tourists want real philly cheesesteak bad experience real philly cheesesteak like tony lukes johns roast pork johnnys hots grilladelphia talk town places really provide quality philly steak pats lot hype end day marginal steak ive understood wiz thing real steak provolone onions peppers wiz disgusting philly thing yelled ordering real philadelphian knock head rude youre trying steak city brotherly love youre looking authentic philly cheesesteak philly experience general look city lot better offer']"
