review_id,stars,text,Food Quality,Customer Service,Place,Menu_and_Pricing,Drinks,Time
38Lf8JckPFezk_S2cyElaw,4,"Unassuming small location, but fantastic quality and taste!

Oscar's Taco Shop at this location quickly became my favorite Mexican restaurant. It's a fantastic place for a quick bite, or a nice to-go order. Food is always excellent, and plenty of variety on the menu.

Although it's not healthy, their steak/chicken fries are delicious. Basket of fries, with steak (or chicken if you prefer) strips, loads of cheese, and sour cream... it's amazing. Their full order of nachos is enormous - feeds 2 people.",1.0,1.0,1.0,1.0,0.0,0.0
dtF6Q0ryYbuAXGxJnDDczQ,4,"Good food, gigantic portions.  Local beers on tap.  The band that was playing was pretty damn good, but real aggressive about their tips.

The Taste of New Orleans was probably my favorite dish.  It gives you a chance to sample the flavors that make New Orleans famous.

Prices are a bit high, but you're downtown in the French Quarter.  It is what it is.",1.0,0.0,1.0,-1.0,1.0,0.0
mUACYY4MQFNrjzH_Pb4-4w,5,"Everytime we come down to our condo in St. Pete Beach (from Chicago) my husband always HAS to get a Cuban sandwich from this place. They are delicious! Really large too, so two people can easily split one. The place is small but it has a little outdoor seating area. Nothing fancy, but great Cubans!",1.0,0.0,1.0,1.0,0.0,0.0
g8hR9Z3z1mFS0fnbJPzcNQ,4,"We t to Kabuto Japanese Steakhouse with a friend for lunch the other day. I have to say that in my opinion it was just ok. It wasn't my favorite hibachi location that I've been to.  Although my friend really likes this place and comes here regularly, I'm not sure I'd go back.

Don't get me wrong, it was alright, but my meat (Beef) was very fatty and not very flavorful even with the sauces. But the rolls that we got were both very good.",0.0,1.0,1.0,0.0,0.0,0.0
mJx7O51I_a0C-lOXa6Lg2Q,5,"I come here very often with my family and we love it! Its a great place that's very casual and relaxed. Its more of a ""hipster"" vibe that's a bit expensive but fast and delicious!

I would 100% recommend getting the macaroons too!",1.0,1.0,1.0,-1.0,0.0,0.0
cBYU8eoO6sXvW3sZxkBf8Q,5,Small little diner- doesn't look like much- but didn't your mama tell you not to judge a book. Delicious food and great service,1.0,1.0,1.0,0.0,0.0,0.0
gTLNc8a3uRT49hPIjjzASA,3,Good if you want food better than Mcds fast. The gyro meat was a little dry but it was on a salad and the excess water from the washed lettuce moistened the meat. It wasnt busy and only ordered a couple salads they forgot the dressing on one.,0.0,1.0,1.0,0.0,0.0,-1.0
s6ACpgMGr2gRgt8F-YZ8WQ,5,Excellent meal and the house chardonnay is first-class.  Service for the 30 plus group I was in was flawless.  Did not expect to have such a good experience in a casino restaurant.  This place changed my thinking about that.,1.0,1.0,1.0,1.0,1.0,0.0
KQsCBcX7yndJBs5_JRhJWQ,2,"Went to the Cherry Hill restaurant for the first time last night to meet an old friend for dinner.  The extremely attentive waitress did not give us even a few minutes to look over the menu in an almost-empty room.  I asked for a beefeater martini and was told they were out of this gin.  I asked the price of a tanqueray gin martini.  She checked the screen and advised it was $8.25.  When the bill came the drink's price was almost $2.00 more.  The waitress, with a straight face, told me the $8.25 was for the gin, the ""martini"" part of the drink accounted for the extra charge???  We each had the tuna tartare as an appetizer.  They could certainly take lessons from Bonefish for this dish.  No wasabi, no fresh ginger, had to ask for soy sauce, poorly plated.  The shrimp ceasar salads came with five overcooked shrimp, and an okay dressing.  One and done.   Shortly I will see Houlihan's ""thank you for your review"" message.",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
k0mNl8RnHIu-o4z0YiHUxw,2,"Well I can say definitively this: They don't rip you off i.e. the portions are decent size, it's not expensive and it's  Cajun-y and flavorful, but... um.... and please, go experience for yourselves. They didn't pair it with cornbread, but with french bread instead,my etoufee roux seemed thinner that I expected. 
But please go experience yourself. It is very acceptable.",1.0,0.0,0.0,0.0,0.0,0.0
